"ModGlottalStop",U+F1C8,U+02C0
"ModVoicing",U+F1E8,U+02EC
"LtnSupSmM",U+F180,U+1D50
"LtnSupSmEng",U+F182,U+1D51
"SqrTxtBracLowLft",U+F134,U+230A
"SqrTxtBracLowRt",U+F135,U+230B
"CombDblBreveBlw",U+F176,U+035C
"CombSnakeBlw",U+F170,U+1DC2
"LtnSmBPalHook",U+F224,U+1D80
"LtnSmDPalHook",U+F226,U+1D81
"LtnSmFPalHook",U+F227,U+1D82
"LtnSmScriptGPalHook",U+F228,U+1D83
"LtnSmKPalHook",U+F229,U+1D84
"LtnSmLPalHook",U+F22A,U+1D85
"LtnSmMPalHook",U+F22B,U+1D86
"LtnSmNPalHook",U+F22C,U+1D87
"LtnSmPPalHook",U+F22D,U+1D88
"LtnSmRPalHook",U+F22E,U+1D89
"LtnSmSPalHook",U+F22F,U+1D8A
"LtnSmEshPalHook",U+F230,U+1D8B
"LtnSmVPalHook",U+F231,U+1D8C
"LtnSmXPalHook",U+F232,U+1D8D
"LtnSmZPalHook",U+F233,U+1D8E
"LtnSmARetrHook",U+F236,U+1D8F
"LtnSmAlphaRetrHook",U+F237,U+1D90
"LtnSmDTailHook",U+F20C,U+1D91
"LtnSmERetrHook",U+F238,U+1D92
"LtnSmOpnERetrHook",U+F239,U+1D93
"LtnSmRevOpnERetrHook",U+F23A,U+1D94
"LtnSmSchwaRetrHook",U+F23B,U+1D95
"LtnSmIRetrHook",U+F23C,U+1D96
"LtnSmOpnORetrHook",U+F23D,U+1D97
"LtnSmEshHook",U+F216,U+1D98
"LtnSmURetrHook",U+F23E,U+1D99
"LtnSmEzhHook",U+F21C,U+1D9A
"LtnSupSmTurnedAlpha",U+F1A0,U+1D9B
"ModSmC",U+F1B9,U+1D9C
"LtnSupSmCCurl",U+F1A2,U+1D9D
"ModSmEth",U+F1BA,U+1D9E
"LtnSupSmRevOpnE",U+F18B,U+1D9F
"LtnSupSmF",U+F1A5,U+1DA0
"LtnSupSmDotlessJStrk",U+F1A9,U+1DA1
"LtnSupSmScriptG",U+F1A6,U+1DA2
"ModSmTurnedH",U+F1BB,U+1DA3
"LtnSupSmIStrk",U+F1A7,U+1DA4
"ModSmIota",U+F1CA,U+1DA5
"LtnSupSmCapI",U+F1A8,U+1DA6
"ModSmCapIStrk",U+F1CB,U+1DA7
"ModSmJCrossedTail",U+F1BD,U+1DA8
"LtnSupSmLRetrHook",U+F1AA,U+1DA9
"ModSmLPalHook",U+F1BE,U+1DAA
"ModSmCapL",U+F1BF,U+1DAB
"ModSmMHook",U+F1C0,U+1DAC
"LtnSupSmTurnedMLngLeg",U+F1B2,U+1DAD
"LtnSupSmNLftHook",U+F181,U+1DAE
"ModSmNRetrHook",U+F1C1,U+1DAF
"ModSmCapN",U+F1C2,U+1DB0
"LtnSupSmBarredO",U+F1AC,U+1DB1
"ModSmPhi",U+F1C3,U+1DB2
"ModSmSHook",U+F1C4,U+1DB3
"LtnSupSmEsh",U+F1AF,U+1DB4
"ModSmTPalHook",U+F1C5,U+1DB5
"LtnSupSmUBar",U+F1B0,U+1DB6
"LtnSupSmUpsilon",U+F1B1,U+1DB7
"ModSmCapU",U+F1CC,U+1DB8
"ModSmVHook",U+F1C6,U+1DB9
"LtnSupSmTurnedV",U+F1B3,U+1DBA
"LtnSupSmZ",U+F1B6,U+1DBB
"ModSmZRetrHook",U+F1C7,U+1DBC
"LtnSupSmZCurl",U+F1B7,U+1DBD
"LtnSupSmEzh",U+F1B8,U+1DBE
"ModSmTheta",U+F1C9,U+1DBF
"LtnSmBMiddleTilde",U+F249,U+1D6C
"LtnSmDMiddleTilde",U+F24A,U+1D6D
"LtnSmFMiddleTilde",U+F24B,U+1D6E
"LtnSmMMiddleTilde",U+F24C,U+1D6F
"LtnSmNMiddleTilde",U+F24D,U+1D70
"LtnSmPMiddleTilde",U+F24E,U+1D71
"LtnSmRMiddleTilde",U+F24F,U+1D72
"LtnSmRFishhookMiddleTilde",U+F250,U+1D73
"LtnSmSMiddleTilde",U+F251,U+1D74
"LtnSmTMiddleTilde",U+F252,U+1D75
"LtnSmZMiddleTilde",U+F253,U+1D76
"LtnSmCapIStrk",U+F254,U+1D7B
"LtnSmIotaStrk",U+F25D,U+1D7C
"LtnSmPStrk",U+F210,U+1D7D
"LtnSmCapUBar",U+F23F,U+1D7E
"LtnSmUpsilonStrk",U+F255,U+1D7F
"CyCapGheDesc",U+F320,U+04F6
"CySmGheDesc",U+F321,U+04F7
"LtnSmDBDigraph",U+F240,U+0238
"LtnSmQPDigraph",U+F241,U+0239
"LtnSmCStrk",U+F20B,U+023C
"LtnCapLBar",U+F21F,U+023D
"LtnSmSSwashTail",U+F256,U+023F
"LtnSmZSwashTail",U+F257,U+0240
"ModTnYinPing",U+F1DF,U+A700
"ModTnYangPing",U+F1E3,U+A701
